account_name,parent_account,account_number,parent_account_number,is_group,account_type,root_type,account_currency
"Taxes sur le chiffre d'affaires déductibles - 4366","Comptes de Tiers - Actif (Classe 4)","4366","4-A",1,"Tax","Asset","TND"
"TVA sur immobilisations - 43662","Taxes sur le chiffre d'affaires déductibles - 4366","43662","4366",0,"Tax","Asset","TND"
"TVA transférée par d'autres entreprises - 43663","Taxes sur le chiffre d'affaires déductibles - 4366","43663","4366",0,"Tax","Asset","TND"
"TVA sur autres biens et services - 43666","Taxes sur le chiffre d'affaires déductibles - 4366","43666","4366",0,"Tax","Asset","TND"
"Crédit de TVA à reporter - 43667","Taxes sur le chiffre d'affaires déductibles - 4366","43667","4366",0,"Tax","Asset","TND"
"Autres taxes sur le chiffre d'affaires - 43668","Taxes sur le chiffre d'affaires déductibles - 4366","43668","4366",0,"Tax","Asset","TND"
"Taxes sur le CA collectées par l'entreprise - 4367","Etat - taxes sur le chiffre d'affaires - 436","4367","436",1,"Tax","Liability","TND"
"Etat - TVA à décaisser - 43679","Taxes sur le CA collectées par l'entreprise - 4367","43679","4367",0,"Tax","Liability","TND"
"TVA collectée - 43671","Taxes sur le CA collectées par l'entreprise - 4367","43671","4367",1,"Tax","Liability","TND"
"TVA collectée sur les débits - 436711","TVA collectée - 43671","436711","43671",0,"Tax","Liability","TND"
"TVA collectée sur les encaissements - 436712","TVA collectée - 43671","436712","43671",0,"Tax","Liability","TND"
"Autres taxes sur le chiffre d'affaires - 43678","Taxes sur le CA collectées par l'entreprise - 4367","43678","4367",0,"Tax","Liability","TND"
"Taxes sur le CA à régulariser ou en attente - 4368","Etat - taxes sur le chiffre d'affaires - 436","4368","436",0,"Tax","Liability","TND"
"Autres impôts, taxes et versements assimilés - 437","Etat et collectivités publiques - 43","437","43",0,"Tax","Liability","TND"
"Etat - charges à payer et produits à recevoir - 438","Etat et collectivités publiques - 43","438","43",1,"","Liability","TND"
"Charges fiscales sur congés à payer - 4382","Etat - charges à payer et produits à recevoir - 438","4382","438",0,"Liability","Liability","TND"
"Autres charges à payer - 4386","Etat - charges à payer et produits à recevoir - 438","4386","438",0,"Liability","Liability","TND"
"Produits à recevoir - 4387","Etat - charges à payer et produits à recevoir - 438","4387","438",0,"Liability","Liability","TND"
"Groupe - 441","Comptes de Tiers - Actif (Classe 4)","441","4-A",1,"","Asset","TND"
"Créances et intérêts courus - 4411","Groupe - 441","4411","441",0,"Receivable","Asset","TND"
"Sociétés du groupe & associés - 44","Comptes de Tiers - Passif (Classe 4)","44","4-P",1,"","Liability","TND"
"Dettes et intérêts à payer - 4412","Sociétés du groupe & associés - 44","4412","44",0,"Payable","Liability","TND"
"Associés - comptes courants - 442","Sociétés du groupe & associés - 44","442","44",1,"","Liability","TND"
"Principal - 4421","Associés - comptes courants - 442","4421","442",0,"Liability","Liability","TND"
"Intérêts courus - 4428","Associés - comptes courants - 442","4428","442",0,"Liability","Liability","TND"
"Associés - opérations sur le capital - 446","Sociétés du groupe & associés - 44","446","44",0,"Liability","Liability","TND"
"Associés - dividendes à payer - 447","Sociétés du groupe & associés - 44","447","44",0,"Payable","Liability","TND"
"Associés - opérations faites en commun - 448","Sociétés du groupe & associés - 44","448","44",1,"","Liability","TND"
"Opérations courantes - 4481","Associés - opérations faites en commun - 448","4481","448",0,"Liability","Liability","TND"
"Intérêts courus - 4488","Associés - opérations faites en commun - 448","4488","448",0,"Liability","Liability","TND"
"Créances sur cessions d'immobilisations - 452","Comptes de Tiers - Actif (Classe 4)","452","4-A",0,"Receivable","Asset","TND"
"Créances sur cessions de valeurs mobilières de placement - 455","Comptes de Tiers - Actif (Classe 4)","455","4-A",0,"Receivable","Asset","TND"
"Débiteurs divers et Créditeurs divers - 45","Comptes de Tiers - Passif (Classe 4)","45","4-P",1,"","Liability","TND"
"Sécurité sociale et autres organismes sociaux - 453","Débiteurs divers et Créditeurs divers - 45","453","45",1,"","Liability","TND"
"Organismes sociaux - 4531","Sécurité sociale et autres organismes sociaux - 453","4531","453",1,"","Liability","TND"
"CNSS - 45311","Organismes sociaux - 4531","45311","4531",0,"Liability","Liability","TND"
"Autres - 45318","Organismes sociaux - 4531","45318","4531",0,"Liability","Liability","TND"
"Organismes sociaux - charges à payer et produits à recevoir - 4538","Sécurité sociale et autres organismes sociaux - 453","4538","453",1,"","Liability","TND"
"Charges sociales sur congés à payer - 45382","Organismes sociaux - charges à payer et produits à recevoir - 4538","45382","4538",0,"Liability","Liability","TND"
"Autres charges à payer - 45386","Organismes sociaux - charges à payer et produits à recevoir - 4538","45386","4538",0,"Liability","Liability","TND"
"Produits à recevoir - 45387","Organismes sociaux - charges à payer et produits à recevoir - 4538","45387","4538",0,"Liability","Liability","TND"
"Dettes sur acquisitions de valeurs mobilières de placement - 454","Débiteurs divers et Créditeurs divers - 45","454","45",0,"Payable","Liability","TND"
"Autres comptes débiteurs ou créditeurs - 457","Débiteurs divers et Créditeurs divers - 45","457","45",0,"Payable","Liability","TND"
"Diverses charges à payer et produits à recevoir - 458","Débiteurs divers et Créditeurs divers - 45","458","45",1,"","Liability","TND"
"Charges à payer - 4586","Diverses charges à payer et produits à recevoir - 458","4586","458",0,"Liability","Liability","TND"
"Produits à recevoir - 4587","Diverses charges à payer et produits à recevoir - 458","4587","458",0,"Liability","Liability","TND"
"Différences de conversion actif - 4651","Comptes de Tiers - Actif (Classe 4)","4651","4-A",0,"Current Asset","Asset","TND"
"Comptes transitoires ou d'attente - 46","Comptes de Tiers - Passif (Classe 4)","46","4-P",1,"","Liability","TND"
"Compte d'attente - 461","Comptes transitoires ou d'attente - 46","461","46",0,"Temporary","Liability","TND"
"Différence de conversion sur éléments courants - 465","Comptes transitoires ou d'attente - 46","465","46",1,"","Liability","TND"
"Différences de conversion passif - 4652","Différence de conversion sur éléments courants - 465","4652","465",0,"Liability","Liability","TND"
"Autres comptes transitoires - 468","Comptes transitoires ou d'attente - 46","468","46",0,"Temporary","Liability","TND"
"Charges constatées d'avance - 471","Comptes de Tiers - Actif (Classe 4)","471","4-A",0,"Current Asset","Asset","TND"
"Comptes de régularisation - 47","Comptes de Tiers - Passif (Classe 4)","47","4-P",1,"","Liability","TND"
"Produits constatés d'avance - 472","Comptes de régularisation - 47","472","47",0,"Liability","Liability","TND"
"Comptes de répartition périodique de charges et produits - 478","Comptes de régularisation - 47","478","47",1,"","Liability","TND"
"Charges - 4786","Comptes de répartition périodique de charges et produits - 478","4786","478",0,"Liability","Liability","TND"
"Produits - 4787","Comptes de répartition périodique de charges et produits - 478","4787","478",0,"Liability","Liability","TND"
"Provisions courantes pour risques et charges - 48","Comptes de Tiers - Passif (Classe 4)","48","4-P",0,"Liability","Liability","TND"
"Provisions pour dépréciation des comptes de tiers - 49","Comptes de Tiers - Actif (Classe 4)","49","4-A",1,"Accumulated Depreciation","Asset","TND"
"Provisions pour dépréciation des comptes clients - 491","Provisions pour dépréciation des comptes de tiers - 49","491","49",0,"Accumulated Depreciation","Asset","TND"
"Provisions pour dépréciation des comptes de groupe et associés - 494","Provisions pour dépréciation des comptes de tiers - 49","494","49",1,"","Asset","TND"
"Comptes du groupe - 4941","Provisions pour dépréciation des comptes de groupe et associés - 494","4941","494",0,"Accumulated Depreciation","Asset","TND"
"Comptes courants des associés - 4942","Provisions pour dépréciation des comptes de groupe et associés - 494","4942","494",0,"Accumulated Depreciation","Asset","TND"
"Opérations faites en commun - 4948","Provisions pour dépréciation des comptes de groupe et associés - 494","4948","494",0,"Accumulated Depreciation","Asset","TND"
"Provisions pour dépréciation des comptes de débiteurs divers - 495","Provisions pour dépréciation des comptes de tiers - 49","495","49",1,"","Asset","TND"
"Créances sur cession d'immobilisation - 4952","Provisions pour dépréciation des comptes de débiteurs divers - 495","4952","495",0,"Accumulated Depreciation","Asset","TND"
"Créances sur cession des valeurs mobilières de placement - 4955","Provisions pour dépréciation des comptes de débiteurs divers - 495","4955","495",0,"Accumulated Depreciation","Asset","TND"
"Autres comptes débiteurs - 4957","Provisions pour dépréciation des comptes de débiteurs divers - 495","4957","495",0,"Accumulated Depreciation","Asset","TND"
"Emprunts et autres dettes financières courants - 50","Comptes Financiers - Passif (Classe 5)","50","5-P",1,"","Liability","TND"
"Emprunts courants liés au cycle d'exploitation - 501","Emprunts et autres dettes financières courants - 50","501","50",0,"Liability","Liability","TND"
"Échéances à moins d'un an sur emprunts non courants - 505","Emprunts et autres dettes financières courants - 50","505","50",0,"Liability","Liability","TND"
"Concours bancaires courants - 506","Emprunts et autres dettes financières courants - 50","506","50",1,"","Liability","TND"
"Crédit de mobilisation de créances commerciales - 5061","Concours bancaires courants - 506","5061","506",0,"Liability","Liability","TND"
"Mobilisation de créances nées à l'étranger - 5063","Concours bancaires courants - 506","5063","506",0,"Liability","Liability","TND"
"Autres concours bancaires - 5067","Concours bancaires courants - 506","5067","506",0,"Liability","Liability","TND"
"Emprunts échus et impayés - 507","Emprunts et autres dettes financières courants - 50","507","50",0,"Liability","Liability","TND"
"Intérêts courus - 508","Emprunts et autres dettes financières courants - 50","508","50",0,"Liability","Liability","TND"
"Prêts et autres créances financières courants - 51","Comptes Financiers - Actif (Classe 5)","51","5-A",1,"","Asset","TND"
"Prêts courants liés au cycle d'exploitation - 511","Prêts et autres créances financières courants - 51","511","51",0,"Current Asset","Asset","TND"
"Échéances à moins d'un an sur prêts non courants - 516","Prêts et autres créances financières courants - 51","516","51",0,"Current Asset","Asset","TND"
"Échéances à moins d'un an sur autres créances financières - 517","Prêts et autres créances financières courants - 51","517","51",0,"Current Asset","Asset","TND"
"Intérêts courus - 518","Prêts et autres créances financières courants - 51","518","51",0,"Current Asset","Asset","TND"
"Placements courants - 52","Comptes Financiers - Actif (Classe 5)","52","5-A",1,"","Asset","TND"
"Actions - 523","Placements courants - 52","523","52",1,"","Asset","TND"
"Titres cotés - 5231","Actions - 523","5231","523",0,"Current Asset","Asset","TND"
"Titres non cotés - 5235","Actions - 523","5235","523",0,"Current Asset","Asset","TND"
"Autres titres conférant un droit de propriété - 524","Placements courants - 52","524","52",0,"Current Asset","Asset","TND"
"Obligations et bons émis par la société et rachetés par elle - 525","Placements courants - 52","525","52",0,"Current Asset","Asset","TND"
"Obligations - 526","Placements courants - 52","526","52",1,"","Asset","TND"
"Titres cotés - 5261","Obligations - 526","5261","526",0,"Current Asset","Asset","TND"
"Titres non cotés - 5265","Obligations - 526","5265","526",0,"Current Asset","Asset","TND"
"Échéances à moins d'un an sur les obligations immobilisées - 5266","Obligations - 526","5266","526",0,"Current Asset","Asset","TND"
"Bons du trésor et bons de caisse à court terme - 527","Placements courants - 52","527","52",0,"Current Asset","Asset","TND"
"Autres placements courants et créances assimilées - 528","Placements courants - 52","528","52",1,"","Asset","TND"
"Autres valeurs mobilières - 5281","Autres placements courants et créances assimilées - 528","5281","528",0,"Current Asset","Asset","TND"
"Intérêts courus sur obligations, bons et valeurs assimilées - 5288","Autres placements courants et créances assimilées - 528","5288","528",0,"Current Asset","Asset","TND"
"Versements restant à effectuer sur valeurs mobilières de placement non libérées - 529","Placements courants - 52","529","52",0,"Current Asset","Asset","TND"
"Banques, établissements financiers et assimilés - 53","Comptes Financiers - Actif (Classe 5)","53","5-A",1,"Bank","Asset","TND"
"Valeurs à l'encaissement - 531","Banques, établissements financiers et assimilés - 53","531","53",1,"Bank","Asset","TND"
"Coupons échus à l'encaissement - 5311","Valeurs à l'encaissement - 531","5311","531",0,"Bank","Asset","TND"
"Chèques à encaisser - 5312","Valeurs à l'encaissement - 531","5312","531",0,"Bank","Asset","TND"
"Effets à l'encaissement - 5313","Valeurs à l'encaissement - 531","5313","531",0,"Bank","Asset","TND"
"Effets à l'escompte - 5314","Valeurs à l'encaissement - 531","5314","531",0,"Bank","Asset","TND"
"Banques - 532","Banques, établissements financiers et assimilés - 53","532","53",1,"Bank","Asset","TND"
"Comptes en dinars - 5321","Banques - 532","5321","532",0,"Bank","Asset","TND"
"Comptes en devises - 5324","Banques - 532","5324","532",0,"Bank","Asset","TND"
"C.C.P. - 534","Banques, établissements financiers et assimilés - 53","534","53",0,"Bank","Asset","TND"
"Comptes au trésor - 535","Banques, établissements financiers et assimilés - 53","535","53",0,"Bank","Asset","TND"
"Autres organismes financiers - 537","Banques, établissements financiers et assimilés - 53","537","53",0,"Bank","Asset","TND"
"Caisse - 54","Comptes Financiers - Actif (Classe 5)","54","5-A",1,"Cash","Asset","TND"
"Caisse siège social - 541","Caisse - 54","541","54",1,"Cash","Asset","TND"
"Caisse en dinars - 5411","Caisse siège social - 541","5411","541",0,"Cash","Asset","TND"
"Caisse en devises - 5414","Caisse siège social - 541","5414","541",0,"Cash","Asset","TND"
"Caisses succursales - 542","Caisse - 54","542","54",0,"Cash","Asset","TND"
"Régies d'avances et accréditifs - 55","Comptes Financiers - Actif (Classe 5)","55","5-A",0,"Cash","Asset","TND"
"Virements internes - 58","Comptes Financiers - Actif (Classe 5)","58","5-A",0,"Current Asset","Asset","TND"
"Provisions dépréciation des comptes financiers - 59","Comptes Financiers - Actif (Classe 5)","59","5-A",0,"Accumulated Depreciation","Asset","TND"
"Achats (sauf 603) - 60","Charges (Classe 6)","60","6",1,"","Expense","TND"
"Achats stockés - Matières premières et fournitures liées - 601","Achats (sauf 603) - 60","601","60",0,"Expense Account","Expense","TND"
"Achats stockés - Autres approvisionnements - 602","Achats (sauf 603) - 60","602","60",1,"","Expense","TND"
"Matières consommables - 6021","Achats stockés - Autres approvisionnements - 602","6021","602",0,"Expense Account","Expense","TND"
"Fournitures consommables - 6022","Achats stockés - Autres approvisionnements - 602","6022","602",0,"Expense Account","Expense","TND"
"Emballages - 6026","Achats stockés - Autres approvisionnements - 602","6026","602",0,"Expense Account","Expense","TND"
"Variation des stocks (approvisionnements et marchandises) - 603","Achats (sauf 603) - 60","603","60",0,"Stock Adjustment","Expense","TND"
"Achats d’études et de prestations de services - 604","Achats (sauf 603) - 60","604","60",0,"Expense Account","Expense","TND"
"Achats de matériel, équipements et travaux - 605","Achats (sauf 603) - 60","605","60",0,"Expense Account","Expense","TND"
"Achats non stockés de matières et fournitures - 606","Achats (sauf 603) - 60","606","60",0,"Expense Account","Expense","TND"
"Achats de marchandises - 607","Achats (sauf 603) - 60","607","60",0,"Cost of Goods Sold","Expense","TND"
"Achats liés à une modif. comptable ou activité abandonnée - 608","Achats (sauf 603) - 60","608","60",0,"Expense Account","Expense","TND"
"Rabais, remises et ristournes obtenus sur achats - 609","Achats (sauf 603) - 60","609","60",1,"","Expense","TND"
"RRR liés à une modif. comptable ou activité abandonnée - 6098","Rabais, remises et ristournes obtenus sur achats - 609","6098","609",0,"Expense Account","Expense","TND"
"Services extérieurs - 61","Charges (Classe 6)","61","6",1,"","Expense","TND"
"Sous-traitance générale - 611","Services extérieurs - 61","611","61",0,"Expense Account","Expense","TND"
"Redevances pour utilisation d'immob. concédées - 612","Services extérieurs - 61","612","61",0,"Expense Account","Expense","TND"
"Locations (y compris malis sur emballages) - 613","Services extérieurs - 61","613","61",0,"Expense Account","Expense","TND"
"Charges locatives et de copropriété - 614","Services extérieurs - 61","614","61",0,"Expense Account","Expense","TND"
"Entretien et réparations - 615","Services extérieurs - 61","615","61",0,"Expense Account","Expense","TND"
"Primes d'assurances - 616","Services extérieurs - 61","616","61",0,"Expense Account","Expense","TND"
"Études, recherches et divers services extérieurs - 617","Services extérieurs - 61","617","61",0,"Expense Account","Expense","TND"
"Autres charges liées à une modif. comptable - 618","Services extérieurs - 61","618","61",0,"Expense Account","Expense","TND"
"RRR obtenus sur services extérieurs - 619","Services extérieurs - 61","619","61",0,"Expense Account","Expense","TND"
"Autres services extérieurs - 62","Charges (Classe 6)","62","6",1,"","Expense","TND"
"Personnel extérieur à l'entreprise - 621","Autres services extérieurs - 62","621","62",0,"Expense Account","Expense","TND"
"Rémunération d'intermédiaires et honoraires - 622","Autres services extérieurs - 62","622","62",0,"Expense Account","Expense","TND"
"Publicité, publications, relations publiques - 623","Autres services extérieurs - 62","623","62",0,"Expense Account","Expense","TND"
"Transports de biens et collectifs du personnel - 624","Autres services extérieurs - 62","624","62",1,"","Expense","TND"
"Transports sur achats - 6241","Transports de biens et collectifs du personnel - 624","6241","624",0,"Expense Account","Expense","TND"
"Transports sur ventes - 6242","Transports de biens et collectifs du personnel - 624","6242","624",0,"Expense Account","Expense","TND"
"Transports administratifs - 6244","Transports de biens et collectifs du personnel - 624","6244","624",0,"Expense Account","Expense","TND"
"Transports collectifs du personnel - 6247","Transports de biens et collectifs du personnel - 624","6247","624",0,"Expense Account","Expense","TND"
"Divers - 6248","Transports de biens et collectifs du personnel - 624","6248","624",0,"Expense Account","Expense","TND"
"Déplacements, missions et réceptions - 625","Autres services extérieurs - 62","625","62",1,"","Expense","TND"
"Voyages et déplacements - 6251","Déplacements, missions et réceptions - 625","6251","625",0,"Expense Account","Expense","TND"
"Frais de déménagement - 6255","Déplacements, missions et réceptions - 625","6255","625",0,"Expense Account","Expense","TND"
"Missions - 6256","Déplacements, missions et réceptions - 625","6256","625",0,"Expense Account","Expense","TND"
"Réceptions - 6257","Déplacements, missions et réceptions - 625","6257","625",0,"Expense Account","Expense","TND"
"Frais postaux et de télécommunications - 626","Autres services extérieurs - 62","626","62",0,"Expense Account","Expense","TND"
"Services bancaires et assimilés - 627","Autres services extérieurs - 62","627","62",1,"","Expense","TND"
"Frais sur titres (achats, vente, garde) - 6271","Services bancaires et assimilés - 627","6271","627",0,"Expense Account","Expense","TND"
"Commissions et frais sur émission d'emprunts - 6272","Services bancaires et assimilés - 627","6272","627",0,"Expense Account","Expense","TND"
"Frais sur effets - 6275","Services bancaires et assimilés - 627","6275","627",0,"Expense Account","Expense","TND"
"Location de coffres - 6276","Services bancaires et assimilés - 627","6276","627",0,"Expense Account","Expense","TND"
"Autres frais et commissions sur prestations de services - 6278","Services bancaires et assimilés - 627","6278","627",0,"Expense Account","Expense","TND"
"Autres services ext. liés à une modif. comptable - 628","Autres services extérieurs - 62","628","62",0,"Expense Account","Expense","TND"
"RRR obtenus sur autres services extérieurs - 629","Autres services extérieurs - 62","629","62",0,"Expense Account","Expense","TND"
"Charges divers ordinaires - 63","Charges (Classe 6)","63","6",1,"","Expense","TND"
"Redevances pour concessions, brevets, licences, etc. - 631","Charges divers ordinaires - 63","631","63",0,"Expense Account","Expense","TND"
"Jetons de présence - 633","Charges divers ordinaires - 63","633","63",0,"Expense Account","Expense","TND"
"Pertes sur créances irrécouvrables - 634","Charges divers ordinaires - 63","634","63",1,"","Expense","TND"
"Créances de l'exercice - 6341","Pertes sur créances irrécouvrables - 634","6341","634",0,"Expense Account","Expense","TND"
"Créances des exercices antérieurs - 6344","Pertes sur créances irrécouvrables - 634","6344","634",0,"Expense Account","Expense","TND"
"Quotes-parts de résultat sur opérations faites en commun - 635","Charges divers ordinaires - 63","635","63",1,"","Expense","TND"
"Quote-part de bénéfice transférée (comptabilité du gérant) - 6351","Quotes-parts de résultat sur opérations faites en commun - 635","6351","635",0,"Expense Account","Expense","TND"
"Quote-part de perte supportée (associés non gérants) - 6355","Quotes-parts de résultat sur opérations faites en commun - 635","6355","635",0,"Expense Account","Expense","TND"
"Charges nettes sur cessions d'immob. & autres pertes - 636","Charges divers ordinaires - 63","636","63",0,"Expense Account","Expense","TND"
"Réduction de valeur - 637","Charges divers ordinaires - 63","637","63",0,"Expense Account","Expense","TND"
"Charges divers ordinaires liés à une modif. comptable - 638","Charges divers ordinaires - 63","638","63",0,"Expense Account","Expense","TND"
"Charges de personnel - 64","Charges (Classe 6)","64","6",1,"","Expense","TND"
"Salaires et compléments de salaires - 640","Charges de personnel - 64","640","64",1,"","Expense","TND"
"Salaires - 6400","Salaires et compléments de salaires - 640","6400","640",0,"Expense Account","Expense","TND"
"Heures supplémentaires - 6401","Salaires et compléments de salaires - 640","6401","640",0,"Expense Account","Expense","TND"
"Primes - 6402","Salaires et compléments de salaires - 640","6402","640",0,"Expense Account","Expense","TND"
"Gratifications - 6403","Salaires et compléments de salaires - 640","6403","640",0,"Expense Account","Expense","TND"
"Avantages en nature - 6404","Salaires et compléments de salaires - 640","6404","640",0,"Expense Account","Expense","TND"
"Autres compléments de salaires - 6409","Salaires et compléments de salaires - 640","6409","640",0,"Expense Account","Expense","TND"
"Appointements et compléments d'appointements - 642","Charges de personnel - 64","642","64",1,"","Expense","TND"
"Appointements - 6420","Appointements et compléments d'appointements - 642","6420","642",0,"Expense Account","Expense","TND"
"Heures supplémentaires - 6421","Appointements et compléments d'appointements - 642","6421","642",0,"Expense Account","Expense","TND"
"Primes - 6422","Appointements et compléments d'appointements - 642","6422","642",0,"Expense Account","Expense","TND"
"Gratifications - 6423","Appointements et compléments d'appointements - 642","6423","642",0,"Expense Account","Expense","TND"
"Avantages en nature - 6424","Appointements et compléments d'appointements - 642","6424","642",0,"Expense Account","Expense","TND"
"Autres compléments d'appointements - 6429","Appointements et compléments d'appointements - 642","6429","642",0,"Expense Account","Expense","TND"
"Indemnités représentatives de frais - 643","Charges de personnel - 64","643","64",0,"Expense Account","Expense","TND"
"Commissions au personnel - 644","Charges de personnel - 64","644","64",1,"","Expense","TND"
"Commissions sur achats - 6440","Commissions au personnel - 644","6440","644",0,"Expense Account","Expense","TND"
"Commissions sur ventes - 6441","Commissions au personnel - 644","6441","644",0,"Expense Account","Expense","TND"
"Rémunérations des administrateurs, gérants et associés - 645","Charges de personnel - 64","645","64",0,"Expense Account","Expense","TND"
"Charges connexes aux salaires, appointements, commissions - 646","Charges de personnel - 64","646","64",1,"","Expense","TND"
"Charges connexes aux salaires - 6460","Charges connexes aux salaires, appointements, commissions - 646","6460","646",1,"","Expense","TND"
"Congés payés - 64600","Charges connexes aux salaires - 6460","64600","6460",0,"Expense Account","Expense","TND"
"Indemnités de préavis et de licenciements - 64602","Charges connexes aux salaires - 6460","64602","6460",0,"Expense Account","Expense","TND"
"Supplément familial - 64604","Charges connexes aux salaires - 6460","64604","6460",0,"Expense Account","Expense","TND"
"Charges connexes aux appointements - 6462","Charges connexes aux salaires, appointements, commissions - 646","6462","646",1,"","Expense","TND"
"Congés payés - 64620","Charges connexes aux appointements - 6462","64620","6462",0,"Expense Account","Expense","TND"
"Indemnités de préavis et de licenciement - 64622","Charges connexes aux appointements - 6462","64622","6462",0,"Expense Account","Expense","TND"
"Supplément familial - 64624","Charges connexes aux appointements - 6462","64624","6462",0,"Expense Account","Expense","TND"
"Charges connexes aux commissions - 6464","Charges connexes aux salaires, appointements, commissions - 646","6464","646",1,"","Expense","TND"
"Congés payés - 64640","Charges connexes aux commissions - 6464","64640","6464",0,"Expense Account","Expense","TND"
"Indemnités de préavis et de licenciement - 64642","Charges connexes aux commissions - 6464","64642","6464",0,"Expense Account","Expense","TND"
"Supplément familial - 64644","Charges connexes aux commissions - 6464","64644","6464",0,"Expense Account","Expense","TND"
"Charges connexes aux rémunérations des admin. et gérants - 6465","Charges connexes aux salaires, appointements, commissions - 646","6465","646",1,"","Expense","TND"
"Congés payés - 64650","Charges connexes aux rémunérations des admin. et gérants - 6465","64650","6465",0,"Expense Account","Expense","TND"
"Indemnités de préavis et de licenciement - 64652","Charges connexes aux rémunérations des admin. et gérants - 6465","64652","6465",0,"Expense Account","Expense","TND"
"Supplément familial - 64654","Charges connexes aux rémunérations des admin. et gérants - 6465","64654","6465",0,"Expense Account","Expense","TND"
"Charges sociales légales - 647","Charges de personnel - 64","647","64",1,"","Expense","TND"
"Cotisations de sécurité sociale sur salaires - 6470","Charges sociales légales - 647","6470","647",0,"Expense Account","Expense","TND"
"Cotisations de sécurité sociale sur appointements - 6472","Charges sociales légales - 647","6472","647",0,"Expense Account","Expense","TND"
"Cotisations de sécurité sociale sur commissions - 6474","Charges sociales légales - 647","6474","647",0,"Expense Account","Expense","TND"
"Cotisations sécurité sociale sur rémun. admin & gérants - 6475","Charges sociales légales - 647","6475","647",0,"Expense Account","Expense","TND"
"Prestations directes - 6476","Charges sociales légales - 647","6476","647",0,"Expense Account","Expense","TND"
"Charges de personnel liées à une modif. comptable - 648","Charges de personnel - 64","648","64",0,"Expense Account","Expense","TND"
"Autres charges de personnelles et autres charges sociales - 649","Charges de personnel - 64","649","64",1,"","Expense","TND"
"Autres charges de personnel - 6490","Autres charges de personnelles et autres charges sociales - 649","6490","649",0,"Expense Account","Expense","TND"
"Au très charges sociales - 6495","Autres charges de personnelles et autres charges sociales - 649","6495","649",0,"Expense Account","Expense","TND"
"Charges financières - 65","Charges (Classe 6)","65","6",1,"","Expense","TND"
"Charges d'intérêts - 651","Charges financières - 65","651","65",1,"","Expense","TND"
"Intérêts des emprunts et dettes - 6511","Charges d'intérêts - 651","6511","651",1,"","Expense","TND"
"Des emprunts et dettes assimilées - 65116","Intérêts des emprunts et dettes - 6511","65116","6511",0,"Expense Account","Expense","TND"
"Des dettes rattachées à des participations - 65117","Intérêts des emprunts et dettes - 6511","65117","6511",0,"Expense Account","Expense","TND"
"Intérêts des comptes courants et des dépôts créditeurs - 6515","Charges d'intérêts - 651","6515","651",0,"Expense Account","Expense","TND"
"Intérêts bancaires et sur opérations de financement - 6516","Charges d'intérêts - 651","6516","651",0,"Expense Account","Expense","TND"
"Intérêts des obligations cautionnées - 6517","Charges d'intérêts - 651","6517","651",0,"Expense Account","Expense","TND"
"Intérêts des autres dettes - 6518","Charges d'intérêts - 651","6518","651",0,"Expense Account","Expense","TND"
"Pertes sur créances liées à des participations - 653","Charges financières - 65","653","65",0,"Expense Account","Expense","TND"
"Escomptes accordés - 654","Charges financières - 65","654","65",0,"Expense Account","Expense","TND"
"Pertes de change - 655","Charges financières - 65","655","65",0,"Expense Account","Expense","TND"
"Charges nettes sur cessions de valeurs mobilières - 656","Charges financières - 65","656","65",0,"Expense Account","Expense","TND"
"Autres charges financières - 657","Charges financières - 65","657","65",0,"Expense Account","Expense","TND"
"Charges financières liées à une modif. comptable - 658","Charges financières - 65","658","65",0,"Expense Account","Expense","TND"
"Impôts, taxes et versements assimilés - 66","Charges (Classe 6)","66","6",1,"Tax","Expense","TND"
"Impôts, taxes et versements assimilés sur rémunérations - 661","Impôts, taxes et versements assimilés - 66","661","66",1,"Tax","Expense","TND"
"TFP - 6611","Impôts, taxes et versements assimilés sur rémunérations - 661","6611","661",0,"Tax","Expense","TND"
"FOPROLOS - 6612","Impôts, taxes et versements assimilés sur rémunérations - 661","6612","661",0,"Tax","Expense","TND"
"Autres - 6618","Impôts, taxes et versements assimilés sur rémunérations - 661","6618","661",0,"Tax","Expense","TND"
"Autres impôts, taxes et versements assimilés - 665","Impôts, taxes et versements assimilés - 66","665","66",1,"Tax","Expense","TND"
"Impôts et taxes divers (sauf impôts sur les bénéfices) - 6651","Autres impôts, taxes et versements assimilés - 665","6651","665",0,"Tax","Expense","TND"
"Taxes sur le chiffre d'affaires non récupérables - 6652","Autres impôts, taxes et versements assimilés - 665","6652","665",0,"Tax","Expense","TND"
"Taxe sur les Collectivités Locales (TCL) - 6653","Autres impôts, taxes et versements assimilés - 665","6653","665",0,"Tax","Expense","TND"
"Droits d'enregistrement et de timbre - 6654","Autres impôts, taxes et versements assimilés - 665","6654","665",0,"Tax","Expense","TND"
"Taxes sur les véhicules - 6655","Autres impôts, taxes et versements assimilés - 665","6655","665",0,"Tax","Expense","TND"
"Autres droits - 6658","Autres impôts, taxes et versements assimilés - 665","6658","665",0,"Tax","Expense","TND"
"Impôts et taxes liés à une modif. comptable - 668","Impôts, taxes et versements assimilés - 66","668","66",0,"Tax","Expense","TND"
"Pertes extraordinaires - 67","Charges (Classe 6)","67","6",0,"Expense Account","Expense","TND"
"Dotations aux amortissements et aux provisions - 68","Charges (Classe 6)","68","6",1,"Depreciation","Expense","TND"
