"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Autres comptes débiteurs - 4957","Provisions pour dépréciation des comptes de débiteurs divers - 495","4957","495",0,"Accumulated Depreciation","Asset","TND"
"Concours bancaires courants - 506","Emprunts et autres dettes financières courants - 50","506","50",1,"","Liability","TND"
"Crédit de mobilisation de créances commerciales - 5061","Concours bancaires courants - 506","5061","506",0,"Liability","Liability","TND"
"Mobilisation de créances nées à l'étranger - 5063","Concours bancaires courants - 506","5063","506",0,"Liability","Liability","TND"
"Autres concours bancaires - 5067","Concours bancaires courants - 506","5067","506",0,"Liability","Liability","TND"
"Actions - 523","Placements courants - 52","523","52",1,"","Asset","TND"
"Titres cotés - 5231","Actions - 523","5231","523",0,"Current Asset","Asset","TND"
"Titres non cotés - 5235","Actions - 523","5235","523",0,"Current Asset","Asset","TND"
"Obligations - 526","Placements courants - 52","526","52",1,"","Asset","TND"
"Titres cotés - 5261","Obligations - 526","5261","526",0,"Current Asset","Asset","TND"
"Titres non cotés - 5265","Obligations - 526","5265","526",0,"Current Asset","Asset","TND"
"Échéances à moins d'un an sur les obligations immobilisées - 5266","Obligations - 526","5266","526",0,"Current Asset","Asset","TND"
"Autres placements courants et créances assimilées - 528","Placements courants - 52","528","52",1,"","Asset","TND"
"Autres valeurs mobilières - 5281","Autres placements courants et créances assimilées - 528","5281","528",0,"Current Asset","Asset","TND"
"Intérêts courus sur obligations, bons et valeurs assimilées - 5288","Autres placements courants et créances assimilées - 528","5288","528",0,"Current Asset","Asset","TND"
"Valeurs à l'encaissement - 531","Banques, établissements financiers et assimilés - 53","531","53",1,"Bank","Asset","TND"
"Coupons échus à l'encaissement - 5311","Valeurs à l'encaissement - 531","5311","531",0,"Bank","Asset","TND"
"Chèques à encaisser - 5312","Valeurs à l'encaissement - 531","5312","531",0,"Bank","Asset","TND"
"Effets à l'encaissement - 5313","Valeurs à l'encaissement - 531","5313","531",0,"Bank","Asset","TND"
"Effets à l'escompte - 5314","Valeurs à l'encaissement - 531","5314","531",0,"Bank","Asset","TND"
"Banques - 532","Banques, établissements financiers et assimilés - 53","532","53",1,"Bank","Asset","TND"
"Comptes en dinars - 5321","Banques - 532","5321","532",0,"Bank","Asset","TND"
"Comptes en devises - 5324","Banques - 532","5324","532",0,"Bank","Asset","TND"
"Caisse siège social - 541","Caisse - 54","541","54",1,"Cash","Asset","TND"
"Caisse en dinars - 5411","Caisse siège social - 541","5411","541",0,"Cash","Asset","TND"
"Caisse en devises - 5414","Caisse siège social - 541","5414","541",0,"Cash","Asset","TND"
"Achats stockés - Autres approvisionnements - 602","Achats (sauf 603) - 60","602","60",1,"","Expense","TND"
"Matières consommables - 6021","Achats stockés - Autres approvisionnements - 602","6021","602",0,"Expense Account","Expense","TND"
"Fournitures consommables - 6022","Achats stockés - Autres approvisionnements - 602","6022","602",0,"Expense Account","Expense","TND"
"Emballages - 6026","Achats stockés - Autres approvisionnements - 602","6026","602",0,"Expense Account","Expense","TND"
"Rabais, remises et ristournes obtenus sur achats - 609","Achats (sauf 603) - 60","609","60",1,"","Expense","TND"
"Liés à une modification comptable à prendre en compte dans le résultat de l'exercice ou à une activité abandonnée - 6098","Rabais, remises et ristournes obtenus sur achats - 609","6098","609",0,"Expense Account","Expense","TND"
"Transports de biens et transports collectifs du personnel - 624","Autres services extérieurs - 62","624","62",1,"","Expense","TND"
"Transports sur achats - 6241","Transports de biens et transports collectifs du personnel - 624","6241","624",0,"Expense Account","Expense","TND"
"Transports sur ventes - 6242","Transports de biens et transports collectifs du personnel - 624","6242","624",0,"Expense Account","Expense","TND"
"Transports administratifs - 6244","Transports de biens et transports collectifs du personnel - 624","6244","624",0,"Expense Account","Expense","TND"
"Transports collectifs du personnel - 6247","Transports de biens et transports collectifs du personnel - 624","6247","624",0,"Expense Account","Expense","TND"
"Divers - 6248","Transports de biens et transports collectifs du personnel - 624","6248","624",0,"Expense Account","Expense","TND"
"Déplacements, missions et réceptions - 625","Autres services extérieurs - 62","625","62",1,"","Expense","TND"
"Voyages et déplacements - 6251","Déplacements, missions et réceptions - 625","6251","625",0,"Expense Account","Expense","TND"
"Frais de déménagement - 6255","Déplacements, missions et réceptions - 625","6255","625",0,"Expense Account","Expense","TND"
"Missions - 6256","Déplacements, missions et réceptions - 625","6256","625",0,"Expense Account","Expense","TND"
"Réceptions - 6257","Déplacements, missions et réceptions - 625","6257","625",0,"Expense Account","Expense","TND"
"Services bancaires et assimilés - 627","Autres services extérieurs - 62","627","62",1,"","Expense","TND"
"Frais sur titres (achats, vente, garde) - 6271","Services bancaires et assimilés - 627","6271","627",0,"Expense Account","Expense","TND"
"Commissions et frais sur émission d'emprunts - 6272","Services bancaires et assimilés - 627","6272","627",0,"Expense Account","Expense","TND"
"Frais sur effets - 6275","Services bancaires et assimilés - 627","6275","627",0,"Expense Account","Expense","TND"
"Location de coffres - 6276","Services bancaires et assimilés - 627","6276","627",0,"Expense Account","Expense","TND"
"Autres frais et commissions sur prestations de services - 6278","Services bancaires et assimilés - 627","6278","627",0,"Expense Account","Expense","TND"
"Pertes sur créances irrécouvrables - 634","Charges divers ordinaires - 63","634","63",1,"","Expense","TND"
"Créances de l'exercice - 6341","Pertes sur créances irrécouvrables - 634","6341","634",0,"Expense Account","Expense","TND"
"Créances des exercices antérieurs - 6344","Pertes sur créances irrécouvrables - 634","6344","634",0,"Expense Account","Expense","TND"
"Quotes-parts de résultat sur opérations faites en commun - 635","Charges divers ordinaires - 63","635","63",1,"","Expense","TND"
"Quote-part de bénéfice transférée (comptabilité du gérant) - 6351","Quotes-parts de résultat sur opérations faites en commun - 635","6351","635",0,"Expense Account","Expense","TND"
"Quote-part de perte supportée (comptabilité des associés non gérants) - 6355","Quotes-parts de résultat sur opérations faites en commun - 635","6355","635",0,"Expense Account","Expense","TND"
"Salaires et compléments de salaires - 640","Charges de personnel - 64","640","64",1,"","Expense","TND"
"Salaires - 6400","Salaires et compléments de salaires - 640","6400","640",0,"Expense Account","Expense","TND"
"Heures supplémentaires - 6401","Salaires et compléments de salaires - 640","6401","640",0,"Expense Account","Expense","TND"
"Primes - 6402","Salaires et compléments de salaires - 640","6402","640",0,"Expense Account","Expense","TND"
"Gratifications - 6403","Salaires et compléments de salaires - 640","6403","640",0,"Expense Account","Expense","TND"
"Avantages en nature - 6404","Salaires et compléments de salaires - 640","6404","640",0,"Expense Account","Expense","TND"
"Autres compléments de salaires - 6409","Salaires et compléments de salaires - 640","6409","640",0,"Expense Account","Expense","TND"
"Appointements et compléments d'appointements - 642","Charges de personnel - 64","642","64",1,"","Expense","TND"
"Appointements - 6420","Appointements et compléments d'appointements - 642","6420","642",0,"Expense Account","Expense","TND"
"Heures supplémentaires - 6421","Appointements et compléments d'appointements - 642","6421","642",0,"Expense Account","Expense","TND"
"Primes - 6422","Appointements et compléments d'appointements - 642","6422","642",0,"Expense Account","Expense","TND"
"Gratifications - 6423","Appointements et compléments d'appointements - 642","6423","642",0,"Expense Account","Expense","TND"
"Avantages en nature - 6424","Appointements et compléments d'appointements - 642","6424","642",0,"Expense Account","Expense","TND"
"Autres compléments d'appointements - 6429","Appointements et compléments d'appointements - 642","6429","642",0,"Expense Account","Expense","TND"
"Commissions au personnel - 644","Charges de personnel - 64","644","64",1,"","Expense","TND"
"Commissions sur achats - 6440","Commissions au personnel - 644","6440","644",0,"Expense Account","Expense","TND"
"Commissions sur ventes - 6441","Commissions au personnel - 644","6441","644",0,"Expense Account","Expense","TND"
"Charges connexes aux salaires, appointements, commissions et rémunérations - 646","Charges de personnel - 64","646","64",1,"","Expense","TND"
"Charges connexes aux salaires - 6460","Charges connexes aux salaires, appointements, commissions et rémunérations - 646","6460","646",1,"","Expense","TND"
"Congés payés - 64600","Charges connexes aux salaires - 6460","64600","6460",0,"Expense Account","Expense","TND"
"Indemnités de préavis et de licenciements (gratification de fin de service) - 64602","Charges connexes aux salaires - 6460","64602","6460",0,"Expense Account","Expense","TND"
"Supplément familial - 64604","Charges connexes aux salaires - 6460","64604","6460",0,"Expense Account","Expense","TND"
"Charges connexes aux appointements - 6462","Charges connexes aux salaires, appointements, commissions et rémunérations - 646","6462","646",1,"","Expense","TND"
"Congés payés - 64620","Charges connexes aux appointements - 6462","64620","6462",0,"Expense Account","Expense","TND"
"Indemnités de préavis et de licenciement (gratification de fin de service) - 64622","Charges connexes aux appointements - 6462","64622","6462",0,"Expense Account","Expense","TND"
"Supplément familial - 64624","Charges connexes aux appointements - 6462","64624","6462",0,"Expense Account","Expense","TND"
"Charges connexes aux commissions - 6464","Charges connexes aux salaires, appointements, commissions et rémunérations - 646","6464","646",1,"","Expense","TND"
"Congés payés - 64640","Charges connexes aux commissions - 6464","64640","6464",0,"Expense Account","Expense","TND"
"Indemnités de préavis et de licenciement (gratification de fin de service) - 64642","Charges connexes aux commissions - 6464","64642","6464",0,"Expense Account","Expense","TND"
"Supplément familial - 64644","Charges connexes aux commissions - 6464","64644","6464",0,"Expense Account","Expense","TND"
"Charges connexes aux rémunérations des administrateurs et gérants - 6465","Charges connexes aux salaires, appointements, commissions et rémunérations - 646","6465","646",1,"","Expense","TND"
"Congés payés - 64650","Charges connexes aux rémunérations des administrateurs et gérants - 6465","64650","6465",0,"Expense Account","Expense","TND"
"Indemnités de préavis et de licenciement - 64652","Charges connexes aux rémunérations des administrateurs et gérants - 6465","64652","6465",0,"Expense Account","Expense","TND"
"Supplément familial - 64654","Charges connexes aux rémunérations des administrateurs et gérants - 6465","64654","6465",0,"Expense Account","Expense","TND"
"Charges sociales légales - 647","Charges de personnel - 64","647","64",1,"","Expense","TND"
"Cotisations de sécurité sociale sur salaires - 6470","Charges sociales légales - 647","6470","647",0,"Expense Account","Expense","TND"
"Cotisations de sécurité sociale sur appointements - 6472","Charges sociales légales - 647","6472","647",0,"Expense Account","Expense","TND"
"Cotisations de sécurité sociale sur commissions - 6474","Charges sociales légales - 647","6474","647",0,"Expense Account","Expense","TND"
"Cotisations de sécurité sociale sur rémunérations des administrateurs et gérants - 6475","Charges sociales légales - 647","6475","647",0,"Expense Account","Expense","TND"
"Prestations directes - 6476","Charges sociales légales - 647","6476","647",0,"Expense Account","Expense","TND"
"Autres charges de personnelles et autres charges sociales - 649","Charges de personnel - 64","649","64",1,"","Expense","TND"
"Autres charges de personnel - 6490","Autres charges de personnelles et autres charges sociales - 649","6490","649",0,"Expense Account","Expense","TND"
"Au très charges sociales - 6495","Autres charges de personnelles et autres charges sociales - 649","6495","649",0,"Expense Account","Expense","TND"
"Charges d'intérêts - 651","Charges financières - 65","651","65",1,"","Expense","TND"
"Intérêts des emprunts et dettes - 6511","Charges d'intérêts - 651","6511","651",1,"","Expense","TND"
"Des emprunts et dettes assimilées - 65116","Intérêts des emprunts et dettes - 6511","65116","6511",0,"Expense Account","Expense","TND"
"Des dettes rattachées à des participations - 65117","Intérêts des emprunts et dettes - 6511","65117","6511",0,"Expense Account","Expense","TND"
"Intérêts des comptes courants et des dépôts créditeurs - 6515","Charges d'intérêts - 651","6515","651",0,"Expense Account","Expense","TND"
"Intérêts bancaires et sur opérations de financement - 6516","Charges d'intérêts - 651","6516","651",0,"Expense Account","Expense","TND"
"Intérêts des obligations cautionnées - 6517","Charges d'intérêts - 651","6517","651",0,"Expense Account","Expense","TND"
"Intérêts des autres dettes (y compris les pénalités et intérêts de retard sur emprunts) - 6518","Charges d'intérêts - 651","6518","651",0,"Expense Account","Expense","TND"
"Impôts, taxes et versements assimilés sur rémunérations - 661","Impôts, taxes et versements assimilés - 66","661","66",1,"Tax","Expense","TND"
"TFP - 6611","Impôts, taxes et versements assimilés sur rémunérations - 661","6611","661",0,"Tax","Expense","TND"
"FOPROLOS - 6612","Impôts, taxes et versements assimilés sur rémunérations - 661","6612","661",0,"Tax","Expense","TND"
"Autres - 6618","Impôts, taxes et versements assimilés sur rémunérations - 661","6618","661",0,"Tax","Expense","TND"
"Autres impôts, taxes et versements assimilés - 665","Impôts, taxes et versements assimilés - 66","665","66",1,"Tax","Expense","TND"
"Impôts et taxes divers (sauf impôts sur les bénéfices) - 6651","Autres impôts, taxes et versements assimilés - 665","6651","665",0,"Tax","Expense","TND"
"Taxes sur le chiffre d'affaires non récupérables - 6652","Autres impôts, taxes et versements assimilés - 665","6652","665",0,"Tax","Expense","TND"
"Droits d'enregistrement et de timbre - 6654","Autres impôts, taxes et versements assimilés - 665","6654","665",0,"Tax","Expense","TND"
"Taxes sur les véhicules - 6655","Autres impôts, taxes et versements assimilés - 665","6655","665",0,"Tax","Expense","TND"
"Autres droits - 6658","Autres impôts, taxes et versements assimilés - 665","6658","665",0,"Tax","Expense","TND"
"Dotations aux amortissements et aux provisions - charges ordinaires (autres que financières) - 681","Dotations aux amortissements et aux provisions - 68","681","68",1,"","Expense","TND"
"Dotations aux amortissements des immobilisations incorporelles et corporelles - 6811","Dotations aux amortissements et aux provisions - charges ordinaires (autres que financières) - 681","6811","681",1,"","Expense","TND"
"Immobilisations incorporelles - 68111","Dotations aux amortissements des immobilisations incorporelles et corporelles - 6811","68111","6811",0,"Depreciation","Expense","TND"
"Immobilisations corporelles - 68112","Dotations aux amortissements des immobilisations incorporelles et corporelles - 6811","68112","6811",0,"Depreciation","Expense","TND"
"Dotations aux provisions pour dépréciation des immobilisations incorporelles et corporelles - 6816","Dotations aux amortissements et aux provisions - charges ordinaires (autres que financières) - 681","6816","681",1,"","Expense","TND"
"Immobilisations incorporelles - 68161","Dotations aux provisions pour dépréciation des immobilisations incorporelles et corporelles - 6816","68161","6816",0,"Depreciation","Expense","TND"
"Immobilisations corporelles - 68162","Dotations aux provisions pour dépréciation des immobilisations incorporelles et corporelles - 6816","68162","6816",0,"Depreciation","Expense","TND"
"Dotations aux provisions pour dépréciation des actifs courants (autres que les valeurs mobilières de placement et les équivalents de liquidités) - 6817","Dotations aux amortissements et aux provisions - charges ordinaires (autres que financières) - 681","6817","681",1,"","Expense","TND"
"Stocks et en-cours - 68173","Dotations aux provisions pour dépréciation des actifs courants (autres que les valeurs mobilières de placement et les équivalents de liquidités) - 6817","68173","6817",0,"Depreciation","Expense","TND"
"Créances - 68174","Dotations aux provisions pour dépréciation des actifs courants (autres que les valeurs mobilières de placement et les équivalents de liquidités) - 6817","68174","6817",0,"Depreciation","Expense","TND"
"Dotations aux amortissements et aux provisions - charges financières - 686","Dotations aux amortissements et aux provisions - 68","686","68",1,"","Expense","TND"
"Dotations aux provisions pour dépréciation des éléments financiers - 6866","Dotations aux amortissements et aux provisions - charges financières - 686","6866","686",1,"","Expense","TND"
"Immobilisations financières - 68662","Dotations aux provisions pour dépréciation des éléments financiers - 6866","68662","6866",0,"Depreciation","Expense","TND"
"Placements et prêts courants - 68665","Dotations aux provisions pour dépréciation des éléments financiers - 6866","68665","6866",0,"Depreciation","Expense","TND"
"Ventes de produits finis - 701","Ventes de produits fabriqués, prestations de services, marchandises - 70","701","70",1,"","Income","TND"
"Produits finis achevés - 7011","Ventes de produits finis - 701","7011","701",0,"Income Account","Income","TND"
"Produits finis non achevés (contrat de longue durée) - 7012","Ventes de produits finis - 701","7012","701",0,"Income Account","Income","TND"
"Rabais, remises et ristournes accordés par l'entreprise - 709","Ventes de produits fabriqués, prestations de services, marchandises - 70","709","70",1,"","Income","TND"
"Sur ventes de produits finis - 7091","Rabais, remises et ristournes accordés par l'entreprise - 709","7091","709",0,"Income Account","Income","TND"
"Sur ventes de produits intermédiaires - 7092","Rabais, remises et ristournes accordés par l'entreprise - 709","7092","709",0,"Income Account","Income","TND"
"Sur travaux - 7094","Rabais, remises et ristournes accordés par l'entreprise - 709","7094","709",0,"Income Account","Income","TND"
"Sur études et prestations de services - 7095","Rabais, remises et ristournes accordés par l'entreprise - 709","7095","709",0,"Income Account","Income","TND"
"Sur activités annexes - 7096","Rabais, remises et ristournes accordés par l'entreprise - 709","7096","709",0,"Income Account","Income","TND"
"Sur ventes de marchandises - 7097","Rabais, remises et ristournes accordés par l'entreprise - 709","7097","709",0,"Income Account","Income","TND"
"Sur ventes liées à une modification comptable à imputer au résultat de l'exercice ou à une activité abandonnée - 7098","Rabais, remises et ristournes accordés par l'entreprise - 709","7098","709",0,"Income Account","Income","TND"
"Variation des stocks (en-cours de production, produits) - 713","Production stockée (ou déstockage) - 71","713","71",1,"","Income","TND"
"Variations des en-cours de production de biens - 7133","Variation des stocks (en-cours de production, produits) - 713","7133","713",0,"Income Account","Income","TND"
"Variation des en-cours de production de services - 7134","Variation des stocks (en-cours de production, produits) - 713","7134","713",0,"Income Account","Income","TND"
"Variation des stocks de produits - 7135","Variation des stocks (en-cours de production, produits) - 713","7135","713",0,"Income Account","Income","TND"
"Reprises sur amortissements et provisions (à inscrire dans les produits ordinaires) - 781","Reprises sur amortissements et provisions - 78","781","78",1,"","Income","TND"
"Reprises sur amortissements des immobilisations incorporelles et corporelles - 7811","Reprises sur amortissements et provisions (à inscrire dans les produits ordinaires) - 781","7811","781",1,"","Income","TND"
"Immobilisations incorporelles - 78111","Reprises sur amortissements des immobilisations incorporelles et corporelles - 7811","78111","7811",0,"Income Account","Income","TND"
"Immobilisations corporelles - 78112","Reprises sur amortissements des immobilisations incorporelles et corporelles - 7811","78112","7811",0,"Income Account","Income","TND"
"Reprises sur provisions pour dépréciation des immobilisations incorporelles et corporelles - 7816","Reprises sur amortissements et provisions (à inscrire dans les produits ordinaires) - 781","7816","781",1,"","Income","TND"
"Immobilisations incorporelles - 78161","Reprises sur provisions pour dépréciation des immobilisations incorporelles et corporelles - 7816","78161","7816",0,"Income Account","Income","TND"
"Immobilisations corporelles - 78162","Reprises sur provisions pour dépréciation des immobilisations incorporelles et corporelles - 7816","78162","7816",0,"Income Account","Income","TND"
"Reprises sur provisions pour dépréciation des actifs courants (autres que les valeurs mobilières de placement et les équivalents de liquidités) - 7817","Reprises sur amortissements et provisions (à inscrire dans les produits ordinaires) - 781","7817","781",1,"","Income","TND"
"Stocks et en-cours - 78173","Reprises sur provisions pour dépréciation des actifs courants (autres que les valeurs mobilières de placement et les équivalents de liquidités) - 7817","78173","7817",0,"Income Account","Income","TND"
"Créances - 78174","Reprises sur provisions pour dépréciation des actifs courants (autres que les valeurs mobilières de placement et les équivalents de liquidités) - 7817","78174","7817",0,"Income Account","Income","TND"
"Reprises sur provisions (à inscrire dans les produits financiers) - 786","Reprises sur amortissements et provisions - 78","786","78",1,"","Income","TND"
